iter	Passed	Remaining
393	2322	3571
394	2328	3566
395	2340	3569
396	2346	3563
397	2352	3557
398	2367	3566
399	2382	3573
400	2396	3579
401	2412	3588
402	2433	3604
403	2450	3615
404	2463	3619
405	2477	3624
406	2490	3628
407	2503	3632
408	2512	3630
409	2529	3639
410	2538	3637
411	2550	3639
412	2558	3636
413	2567	3634
414	2579	3636
415	2586	3630
416	2599	3634
417	2608	3631
418	2613	3623
419	2621	3619
420	2626	3612
421	2640	3616
422	2649	3614
423	2654	3606
424	2658	3597
425	2665	3590
426	2669	3582
427	2673	3573
428	2680	3567
429	2685	3559
430	2690	3551
431	2701	3551
432	2705	3542
433	2711	3535
434	2715	3527
435	2720	3518
436	2724	3510
437	2732	3506
438	2736	3497
439	2741	3489
440	2747	3482
441	2751	3473
442	2755	3464
443	2762	3458
444	2766	3450
445	2770	3441
446	2776	3435
447	2781	3426
448	2785	3418
449	2791	3411
450	2797	3405
451	2801	3396
452	2807	3389
453	2813	3383
454	2817	3375
455	2824	3369
456	2828	3360
457	2832	3352
458	2837	3344
459	2842	3337
460	2847	3328
461	2851	3320
462	2857	3314
463	2861	3305
464	2866	3297
465	2872	3292
466	2877	3283
467	2881	3275
468	2887	3269
469	2891	3261
470	2896	3252
471	2900	3244
472	2906	3238
473	2910	3229
474	2914	3221
475	2921	3216
476	2925	3208
477	2929	3199
478	2935	3192
479	2940	3185
480	2944	3176
481	2948	3168
482	2955	3163
483	2959	3155
484	2963	3147
485	2970	3141
486	2975	3133
487	2979	3125
488	2985	3119
489	2989	3111
490	2994	3103
491	2999	3097
492	3004	3089
493	3008	3081
494	3012	3073
495	3018	3067
496	3023	3059
497	3027	3051
498	3033	3045
499	3037	3037
500	3042	3030
501	3048	3023
502	3052	3016
503	3056	3008
504	3060	3000
505	3067	2994
506	3071	2986
507	3075	2978
508	3082	2973
509	3086	2965
510	3090	2957
511	3096	2951
512	3101	2943
513	3105	2936
514	3110	2929
515	3116	2923
516	3121	2916
517	3125	2908
518	3132	2902
519	3136	2895
520	3140	2887
521	3146	2881
522	3150	2873
523	3155	2866
524	3162	2860
525	3166	2853
526	3170	2845
527	3176	2839
528	3180	2832
529	3185	2824
530	3189	2817
531	3195	2811
532	3200	2803
533	3204	2796
534	3210	2790
535	3218	2785
536	3231	2785
537	3239	2781
538	3250	2780
539	3261	2778
540	3267	2772
541	3289	2779
542	3295	2773
543	3310	2775
544	3321	2773
545	3339	2777
546	3354	2778
547	3364	2775
548	3376	2773
549	3386	2770
550	3398	2768
551	3413	2770
552	3422	2766
553	3429	2761
554	3444	2762
555	3456	2760
556	3469	2759
557	3481	2757
558	3488	2752
559	3544	2784
560	3581	2802
561	3600	2806
562	3643	2827
563	3655	2826
564	3669	2824
565	3700	2837
566	3704	2829
567	3709	2820
568	3717	2815
569	3721	2807
570	3725	2799
571	3732	2793
572	3737	2785
573	3741	2776
574	3747	2770
575	3753	2763
576	3758	2755
577	3764	2748
578	3768	2740
579	3773	2732
580	3779	2725
581	3783	2717
582	3787	2709
583	3793	2702
584	3798	2694
585	3802	2686
586	3807	2678
587	3817	2674
588	3821	2666
589	3828	2660
590	3834	2653
591	3838	2645
592	3847	2640
593	3851	2632
594	3855	2624
595	3861	2617
596	3865	2609
597	3869	2601
598	3876	2594
599	3880	2586
600	3884	2578
601	3889	2571
602	3894	2563
603	3898	2556
604	3902	2548
605	3909	2541
606	3914	2534
607	3916	2525
608	3923	2518
609	3927	2511
610	3932	2503
611	3937	2496
612	3942	2488
613	3946	2481
614	3950	2473
615	3956	2466
616	3960	2458
617	3965	2451
618	3971	2444
619	3975	2436
620	3979	2428
621	3985	2421
622	3989	2414
623	3994	2406
624	3998	2399
625	4004	2392
626	4008	2384
627	4012	2377
628	4019	2370
629	4023	2362
630	4027	2355
631	4032	2347
632	4037	2340
633	4041	2333
634	4045	2325
635	4051	2318
636	4055	2311
637	4059	2303
638	4066	2297
639	4071	2290
640	4075	2282
641	4081	2276
642	4086	2268
643	4090	2261
644	4095	2253
645	4100	2247
646	4104	2239
647	4110	2232
648	4117	2226
649	4123	2220
650	4131	2215
651	4135	2207
652	4140	2200
653	4146	2193
654	4151	2186
655	4155	2179
656	4160	2171
657	4165	2164
658	4169	2157
659	4173	2150
660	4179	2143
661	4183	2136
662	4188	2129
663	4194	2122
664	4198	2115
665	4202	2107
666	4207	2100
667	4212	2093
668	4216	2086
669	4220	2078
670	4228	2073
671	4232	2065
672	4236	2058
673	4243	2052
674	4247	2045
675	4251	2037
676	4257	2031
677	4262	2024
678	4266	2016
679	4270	2009
680	4276	2003
681	4280	1995
682	4284	1988
683	4290	1982
684	4294	1975
685	4299	1967
686	4304	1960
687	4309	1954
688	4313	1947
689	4318	1939
690	4324	1933
691	4328	1926
692	4332	1919
693	4338	1913
694	4343	1905
695	4347	1898
696	4352	1891
697	4357	1885
698	4361	1877
699	4365	1871
700	4373	1865
701	4379	1859
702	4388	1853
703	4403	1851
704	4410	1845
705	4423	1841
706	4430	1835
707	4452	1836
708	4460	1830
709	4477	1828
710	4485	1823
711	4501	1820
712	4508	1814
713	4524	1812
714	4532	1806
715	4545	1802
716	4555	1798
717	4572	1795
718	4589	1793
719	4604	1790
720	4615	1786
721	4640	1786
722	4658	1784
723	4672	1781
724	4678	1774
725	4683	1767
726	4688	1760
727	4694	1753
728	4698	1746
729	4702	1739
730	4710	1733
731	4718	1727
732	4728	1722
733	4740	1717
734	4746	1711
735	4754	1705
736	4763	1699
737	4771	1693
738	4777	1687
739	4781	1679
740	4787	1673
741	4792	1666
742	4796	1658
743	4800	1651
744	4807	1645
745	4811	1638
746	4816	1631
747	4823	1624
748	4827	1617
749	4831	1610
750	4838	1604
751	4842	1597
752	4846	1589
753	4853	1583
754	4857	1576
755	4861	1569
756	4868	1562
757	4872	1555
758	4876	1548
759	4881	1541
760	4886	1534
761	4890	1527
762	4894	1520
763	4901	1514
764	4906	1507
765	4911	1500
766	4918	1494
767	4926	1488
768	4937	1483
769	4945	1477
770	4955	1471
771	4966	1466
772	4974	1460
773	4987	1456
774	4998	1451
775	5014	1447
776	5041	1447
777	5069	1446
778	5098	1446
779	5123	1445
780	5135	1440
781	5153	1436
782	5169	1432
783	5191	1430
784	5238	1434
785	5251	1429
786	5331	1443
787	5339	1436
788	5346	1429
789	5355	1423
790	5366	1418
791	5372	1410
792	5378	1404
793	5387	1397
794	5398	1392
795	5404	1385
796	5415	1379
797	5420	1372
798	5427	1365
799	5431	1357
800	5436	1350
801	5440	1343
802	5444	1335
803	5448	1328
804	5454	1321
805	5458	1313
806	5462	1306
807	5467	1299
808	5471	1291
809	5475	1284
810	5480	1277
811	5484	1269
812	5489	1262
813	5493	1255
814	5497	1247
815	5503	1240
816	5510	1234
817	5514	1226
818	5521	1220
819	5526	1213
820	5531	1205
821	5537	1199
822	5542	1191
823	5547	1184
824	5552	1177
825	5556	1170
826	5560	1163
827	5566	1156
828	5571	1149
829	5575	1141
830	5580	1134
831	5586	1128
832	5591	1120
833	5597	1114
834	5603	1107
835	5607	1100
836	5615	1093
837	5619	1086
838	5624	1079
839	5629	1072
840	5635	1065
841	5640	1058
842	5646	1051
843	5651	1044
844	5656	1037
845	5661	1030
846	5666	1023
847	5670	1016
848	5675	1009
849	5680	1002
850	5684	995
851	5689	988
852	5694	981
853	5700	974
854	5704	967
855	5710	960
856	5715	953
857	5719	946
858	5723	939
859	5729	932
860	5733	925
861	5738	918
862	5744	911
863	5750	905
864	5764	899
865	5771	892
866	5785	887
867	5800	882
868	5810	875
869	5820	869
870	5830	863
871	5841	857
872	5847	850
873	5856	844
874	5866	838
875	5876	831
876	5881	824
877	5888	818
878	5892	811
879	5896	804
880	5901	797
881	5907	790
882	5911	783
883	5915	776
884	5923	769
885	5928	762
886	5939	756
887	5946	749
888	5957	743
889	5962	736
890	5969	730
891	5973	723
892	5978	716
893	5984	709
894	5989	702
895	5993	695
896	5999	688
897	6003	681
898	6007	674
899	6011	667
900	6018	661
901	6023	654
902	6028	647
903	6035	640
904	6039	633
905	6044	627
906	6050	620
907	6055	613
908	6058	606
909	6065	599
910	6070	593
911	6075	586
912	6081	579
913	6086	572
914	6090	565
915	6095	559
916	6100	552
917	6104	545
918	6108	538
919	6114	531
920	6119	524
921	6123	518
922	6129	511
923	6134	504
924	6138	497
925	6145	491
926	6149	484
927	6153	477
928	6159	470
929	6165	464
930	6169	457
931	6174	450
932	6180	443
933	6185	437
934	6190	430
935	6196	423
936	6200	416
937	6205	410
938	6210	403
939	6215	396
940	6219	389
941	6225	383
942	6230	376
943	6234	369
944	6242	363
945	6247	356
946	6251	349
947	6257	343
948	6262	336
949	6267	329
950	6273	323
951	6278	316
952	6282	309
953	6288	303
954	6293	296
955	6297	289
956	6301	283
957	6307	276
958	6311	269
959	6315	263
960	6322	256
961	6326	249
962	6331	243
963	6338	236
964	6342	230
965	6346	223
966	6352	216
967	6359	210
968	6363	203
969	6370	197
970	6375	190
971	6379	183
972	6386	177
973	6390	170
974	6394	163
975	6399	157
976	6404	150
977	6408	144
978	6413	137
979	6419	131
980	6423	124
981	6427	117
982	6434	111
983	6438	104
984	6442	98
985	6448	91
986	6453	85
987	6457	78
988	6461	71
989	6468	65
990	6473	58
991	6477	52
992	6483	45
993	6487	39
994	6492	32
995	6498	26
996	6502	19
997	6506	13
998	6512	6
999	6516	0
